concessionaria,praca_de_pedagio,rodovia,uf,municipio,localizacao,velocidadeAtual,velocidadeLivre,confiabilidade,coordenadas_inicial,coordenadas_final,dataHora,isFeriado
ECOVIAS DO CERRADO,P4 - SANTA VITÓRIA,BR-365,MG,Santa Vitória,"-18.912533,-50.224138",99,99,1.0,"{'latitude': -18.919014885852594, 'longitude': -50.24273296590957}","{'latitude': -18.886628536373863, 'longitude': -50.02831181279112}",2024-10-21_09-47-18,0
ECOVIAS DO CERRADO,P5 - PARANAIGUARA,BR-364,GO,Paranaiguara,"-18.882177,-50.756750",95,95,1.0,"{'latitude': -18.87156394595174, 'longitude': -50.78585346946164}","{'latitude': -18.992476606391026, 'longitude': -50.57081406716509}",2024-10-21_09-47-20,0
ECOVIAS DO CERRADO,P6 - CACHOEIRA ALTA,BR-364,GO,Cachoeira Alta,"-18.471225,-51.082657",91,91,1.0,"{'latitude': -18.503534048342562, 'longitude': -51.06988733426431}","{'latitude': -18.303370128284936, 'longitude': -51.146013790542725}",2024-10-21_09-47-21,0
ECOVIAS DO CERRADO,P7 - JATAÍ,BR-364,GO,Jataí,"-18.111396,-51.480543",96,96,1.0,"{'latitude': -17.998782513395042, 'longitude': -51.57381942299517}","{'latitude': -18.148176159389724, 'longitude': -51.44433846498009}",2024-10-21_09-47-22,0
LITORAL PIONEIRO,P01 SÃO JOSÉ DOS PINHAIS,BR-277,PR,São José dos Pinhais,"-25.552500,-49.036388",86,86,1.0,"{'latitude': -25.550115525206174, 'longitude': -49.041637086552015}","{'latitude': -25.56417166388016, 'longitude': -48.81327515207539}",2024-10-21_09-47-24,0
LITORAL PIONEIRO,P03 JACAREZINHO,BR-369,PR,Jacarezinho,"-23.003888,-49.909722",35,35,1.0,"{'latitude': -23.003367453977415, 'longitude': -49.90902190793051}","{'latitude': -23.00437461723671, 'longitude': -49.911178403978965}",2024-10-21_09-47-25,0
LITORAL PIONEIRO,P05 CARAMBEÍ,151,PR,Carambeí,"-24.912222,-50.086388",97,97,1.0,"{'latitude': -24.946668119417225, 'longitude': -50.10953044288547}","{'latitude': -24.840860347574257, 'longitude': -50.02541100374083}",2024-10-21_09-47-26,0
LITORAL PIONEIRO,P06 JAGUARIAÍVA,151,PR,Jaguariaíva,"-24.319166,-49.778611",84,84,1.0,"{'latitude': -24.31537399779668, 'longitude': -49.77532988176108}","{'latitude': -24.439776228449077, 'longitude': -49.850284212699705}",2024-10-21_09-47-28,0
MSVIA,P1-Mundo Novo,BR-163,MS,Mundo Novo,"-23.865169,-54.329788",79,79,1.0,"{'latitude': -23.92122338664585, 'longitude': -54.286891276549284}","{'latitude': -23.785730264844744, 'longitude': -54.27770336956664}",2024-10-21_09-47-29,0
MSVIA,P2-Itaquirai,BR-163,MS,Itaquiraí,"-23.167432,-54.198970",102,102,1.0,"{'latitude': -23.246819491110017, 'longitude': -54.22500735014327}","{'latitude': -23.163168081878222, 'longitude': -54.19864659993878}",2024-10-21_09-47-31,0
